category,neighborhood,primary_type,classification,year,beat,community_area,domestic,iucr,longitude,location_description,case_number,crime_date,latitude,community_number,ward,fbi_code,id,block,description
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0820,-87.8188717726,STREET,HT102717,2010-12-31T22:30:00,41.985112535,10,41,06,7871753,076XX W ARDMORE AVE,$300 AND UNDER
-,None,BATTERY,/api/1.0-beta1/crimeclassification/48/,2010,1613,/api/1.0-beta1/communityarea/10/,True,0486,-87.8226885194,RESIDENCE,HT100817,2010-12-31T16:00:00,41.9769710524,10,41,08B,7871016,078XX W SUMMERDALE AVE,DOMESTIC BATTERY SIMPLE
-,None,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/127/,2010,1613,/api/1.0-beta1/communityarea/10/,False,1195,-87.7926600994,RESIDENCE,HT126549,2010-12-30T16:30:00,41.9713561185,10,41,11,7898730,049XX N NATOMA AVE,FINAN EXPLOIT-ELDERLY/DISABLED
-,None,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2010,1613,/api/1.0-beta1/communityarea/10/,True,0560,-87.7953068421,RESIDENCE,HT102150,2010-12-30T15:00:00,41.9749634657,10,41,08A,7871337,051XX N RUTHERFORD AVE,SIMPLE
-,None,BATTERY,/api/1.0-beta1/crimeclassification/48/,2010,1613,/api/1.0-beta1/communityarea/10/,True,0486,-87.7902081587,RESIDENCE,HS682476,2010-12-30T13:45:00,41.9729883257,10,41,08B,7868838,050XX N NEENAH AVE,DOMESTIC BATTERY SIMPLE
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2010,1622,/api/1.0-beta1/communityarea/10/,False,1310,-87.7850776938,RESIDENCE,HS682163,2010-12-30T00:01:00,41.9876179902,10,45,14,7867661,058XX N MOBILE AVE,TO PROPERTY
-,None,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/137/,2010,1613,/api/1.0-beta1/communityarea/10/,False,1242,-87.8026588531,RESIDENCE,HT104893,2010-12-30T00:01:00,41.9695751289,10,41,11,7874401,048XX N NORDICA AVE,COMPUTER FRAUD
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2010,1613,/api/1.0-beta1/communityarea/10/,False,1310,-87.8056668241,BAR OR TAVERN,HS680454,2010-12-29T03:30:00,41.9807140118,10,41,14,7865813,071XX W HIGGINS AVE,TO PROPERTY
-,None,BATTERY,/api/1.0-beta1/crimeclassification/36/,2010,1611,/api/1.0-beta1/communityarea/10/,False,0460,-87.7900561785,BAR OR TAVERN,HS680481,2010-12-29T02:00:00,41.9874084017,10,41,08B,7867936,058XX N NORTHWEST HWY,SIMPLE
P,None,BURGLARY,/api/1.0-beta1/crimeclassification/78/,2010,1622,/api/1.0-beta1/communityarea/10/,False,0610,-87.7813517548,APARTMENT,HS680155,2010-12-28T20:39:00,41.9846199324,10,45,05,7866150,061XX W SEMINOLE ST,FORCIBLE ENTRY
-,None,CRIMINAL TRESPASS,/api/1.0-beta1/crimeclassification/152/,2010,1614,/api/1.0-beta1/communityarea/10/,False,1365,-87.832580344,RESIDENCE,HS679757,2010-12-28T14:30:00,41.9794569703,10,41,26,7865427,055XX N PITTSBURGH AVE,TO RESIDENCE
P,None,THEFT,/api/1.0-beta1/crimeclassification/82/,2010,1614,/api/1.0-beta1/communityarea/10/,False,0810,-87.83263426,PARKING LOT/GARAGE(NON.RESID.),HS679588,2010-12-28T14:05:00,41.9857194823,10,41,06,7866174,082XX W HIGGINS RD,OVER $300
-,None,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/118/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1130,-87.8066538726,BANK,HT438205,2010-12-28T12:00:00,41.9970575187,10,41,11,8204062,064XX N HARLEM AVE,FRAUD OR CONFIDENCE GAME
P,None,THEFT,/api/1.0-beta1/crimeclassification/89/,2010,1611,/api/1.0-beta1/communityarea/10/,False,0860,-87.7868592007,SMALL RETAIL STORE,HS678791,2010-12-27T22:02:00,41.996075873,10,45,06,7864092,063XX N MILWAUKEE AVE,RETAIL THEFT
P,None,BURGLARY,/api/1.0-beta1/crimeclassification/78/,2010,1622,/api/1.0-beta1/communityarea/10/,False,0610,-87.7801112449,COMMERCIAL / BUSINESS OFFICE,HS677544,2010-12-27T03:53:00,41.988982729,10,45,05,7862755,059XX N MILWAUKEE AVE,FORCIBLE ENTRY
P,None,THEFT,/api/1.0-beta1/crimeclassification/82/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0810,-87.7917665053,DRIVEWAY - RESIDENTIAL,HS677656,2010-12-26T19:30:00,41.9700538957,10,41,06,7864669,048XX N NASHVILLE AVE,OVER $300
P,None,THEFT,/api/1.0-beta1/crimeclassification/82/,2010,1611,/api/1.0-beta1/communityarea/10/,False,0810,-87.7876396521,GROCERY FOOD STORE,HS676868,2010-12-26T13:34:00,41.9960109808,10,41,06,7866056,063XX N NAGLE AVE,OVER $300
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0820,-87.8112853043,STREET,HS676676,2010-12-25T20:00:00,41.9943811277,10,41,06,7862267,073XX W CLARENCE AVE,$300 AND UNDER
-,None,BATTERY,/api/1.0-beta1/crimeclassification/48/,2010,1611,/api/1.0-beta1/communityarea/10/,True,0486,-87.7866506133,APARTMENT,HS676084,2010-12-25T13:15:00,41.9916484886,10,45,08B,7864599,063XX W HYACINTH ST,DOMESTIC BATTERY SIMPLE
-,None,BATTERY,/api/1.0-beta1/crimeclassification/36/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0460,-87.8056668241,STREET,HS674512,2010-12-24T02:10:00,41.9807140118,10,41,08B,7860583,071XX W HIGGINS AVE,SIMPLE
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1320,-87.793646563,STREET,HS675355,2010-12-23T23:30:00,41.9908446109,10,41,14,7861147,060XX N NAVARRE AVE,TO VEHICLE
-,None,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/123/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1152,-87.7892888548,RESIDENCE,HS675051,2010-12-23T20:00:00,41.9924239095,10,41,11,7861171,060XX N NAPLES AVE,ILLEGAL USE CASH CARD
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2010,1613,/api/1.0-beta1/communityarea/10/,False,1320,-87.7965596607,STREET,HT107156,2010-12-23T12:00:00,41.972919407,10,41,14,7876491,050XX N OAK PARK AVE,TO VEHICLE
P,None,BURGLARY,/api/1.0-beta1/crimeclassification/79/,2010,1622,/api/1.0-beta1/communityarea/10/,False,0620,-87.7814586234,RESIDENCE-GARAGE,HS673560,2010-12-23T11:30:00,41.9862998977,10,45,05,7860022,057XX N MOODY AVE,UNLAWFUL ENTRY
P,None,BURGLARY,/api/1.0-beta1/crimeclassification/78/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0610,-87.8175314818,RESIDENCE,HS681726,2010-12-23T07:00:00,41.9798239265,10,41,05,7911765,076XX W CATALPA AVE,FORCIBLE ENTRY
-,None,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/296/,2010,1612,/api/1.0-beta1/communityarea/10/,False,2820,-87.8212796083,RESIDENCE,HS673083,2010-12-23T04:10:00,41.9852797199,10,41,26,7859171,077XX W VICTORIA ST,TELEPHONE THREAT
P,None,BURGLARY,/api/1.0-beta1/crimeclassification/78/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0610,-87.7931795582,RESIDENCE,HS672812,2010-12-22T21:10:00,41.9838639104,10,41,05,7860017,056XX N NATOMA AVE,FORCIBLE ENTRY
P,None,BURGLARY,/api/1.0-beta1/crimeclassification/78/,2010,1611,/api/1.0-beta1/communityarea/10/,False,0610,-87.7925895662,RESIDENCE,HS671395,2010-12-21T22:01:00,41.9888226497,10,41,05,7860027,059XX N NORTHWEST HWY,FORCIBLE ENTRY
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0820,-87.8055909683,RESIDENTIAL YARD (FRONT/BACK),HS669905,2010-12-20T14:00:00,41.987672963,10,41,06,7855791,058XX N WEST CIRCLE AVE,$300 AND UNDER
-,None,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/297/,2010,1611,/api/1.0-beta1/communityarea/10/,False,2825,-87.7980663952,RESIDENCE,HT138065,2010-12-20T08:00:00,41.9989469677,10,41,26,7908423,064XX N NEW ENGLAND AVE,HARASSMENT BY TELEPHONE
-,None,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/296/,2010,1613,/api/1.0-beta1/communityarea/10/,False,2820,-87.7926268136,RESIDENCE,HS673222,2010-12-20T00:01:00,41.9731177436,10,41,26,7871646,050XX N NATOMA AVE,TELEPHONE THREAT
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2010,1613,/api/1.0-beta1/communityarea/10/,False,1320,-87.8132332061,STREET,HS671593,2010-12-19T20:30:00,41.9792364831,10,41,14,7858178,074XX W CATALPA AVE,TO VEHICLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2010,1611,/api/1.0-beta1/communityarea/10/,False,0820,-87.8018744716,STREET,HS688630,2010-12-19T20:00:00,42.0006688069,10,41,06,7854816,065XX N SAYRE AVE,$300 AND UNDER
-,None,BATTERY,/api/1.0-beta1/crimeclassification/48/,2010,1612,/api/1.0-beta1/communityarea/10/,True,0486,-87.8140393603,RESIDENCE,HS668283,2010-12-19T19:20:00,41.9832219743,10,41,08B,7854298,056XX N OLCOTT AVE,DOMESTIC BATTERY SIMPLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2010,1611,/api/1.0-beta1/communityarea/10/,False,0820,-87.8018744716,STREET,HS668630,2010-12-19T00:30:00,42.0006688069,10,41,06,7895645,065XX N SAYRE AVE,$300 AND UNDER
P,None,BURGLARY,/api/1.0-beta1/crimeclassification/79/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0620,-87.8059907426,RESIDENCE-GARAGE,HS670436,2010-12-19T00:01:00,41.9788988361,10,41,05,7857540,053XX N NEVA AVE,UNLAWFUL ENTRY
-,None,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/296/,2010,1622,/api/1.0-beta1/communityarea/10/,False,2820,-87.7817671157,RESIDENCE,HS667101,2010-12-18T20:25:00,41.9855028177,10,45,26,7853484,057XX N MOODY AVE,TELEPHONE THREAT
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1310,-87.7896036321,RESIDENTIAL YARD (FRONT/BACK),HS667663,2010-12-18T20:00:00,41.9900159939,10,41,14,7853879,060XX N NEWBURG AVE,TO PROPERTY
-,None,OFFENSE INVOLVING CHILDREN,/api/1.0-beta1/crimeclassification/238/,2010,1622,/api/1.0-beta1/communityarea/10/,True,1780,-87.7865933937,RESIDENCE,HS666360,2010-12-18T10:00:00,41.9871587048,10,45,26,7853929,058XX N MULLIGAN AVE,OTHER OFFENSE
-,None,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/298/,2010,1614,/api/1.0-beta1/communityarea/10/,True,2826,-87.8354442015,APARTMENT,HS668453,2010-12-18T05:55:00,41.9758278625,10,41,26,7855210,083XX W BERWYN AVE,HARASSMENT BY ELECTRONIC MEANS
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2010,1613,/api/1.0-beta1/communityarea/10/,False,1320,-87.7968600492,STREET,HS666231,2010-12-18T00:01:00,41.9756869725,10,41,14,7852936,067XX W FOSTER AVE,TO VEHICLE
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1310,-87.788643094,RESIDENCE,HS668858,2010-12-17T18:00:00,41.9866196082,10,41,14,7856369,057XX N NORTHWEST HWY,TO PROPERTY
P,None,THEFT,/api/1.0-beta1/crimeclassification/93/,2010,1622,/api/1.0-beta1/communityarea/10/,False,0890,-87.7790867335,"SCHOOL, PUBLIC, BUILDING",HT186325,2010-12-17T16:00:00,41.9836924557,10,45,06,7955079,056XX N MC VICKER AVE,FROM BUILDING
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2010,1614,/api/1.0-beta1/communityarea/10/,False,1320,-87.832722447,STREET,HS665284,2010-12-17T15:30:00,41.9857308437,10,41,14,7852297,082XX W HIGGINS RD,TO VEHICLE
-,None,BATTERY,/api/1.0-beta1/crimeclassification/48/,2010,1611,/api/1.0-beta1/communityarea/10/,True,0486,-87.7950125188,RESIDENCE,HS668102,2010-12-17T15:00:00,41.9981176609,10,41,08B,7855562,066XX W SCHREIBER AVE,DOMESTIC BATTERY SIMPLE
-,None,BATTERY,/api/1.0-beta1/crimeclassification/48/,2010,1612,/api/1.0-beta1/communityarea/10/,True,0486,-87.8034569652,RESIDENCE,HS664991,2010-12-17T13:01:00,41.99484196,10,41,08B,7853038,062XX N NORTHWEST HWY,DOMESTIC BATTERY SIMPLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/93/,2010,1614,/api/1.0-beta1/communityarea/10/,False,0890,-87.8321235721,HOTEL/MOTEL,HS665135,2010-12-17T13:00:00,41.9856459044,10,41,06,7852503,082XX W HIGGINS RD,FROM BUILDING
P,None,BURGLARY,/api/1.0-beta1/crimeclassification/79/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0620,-87.7928115348,RESIDENCE,HS669554,2010-12-17T09:00:00,41.988672764,10,41,05,7855502,059XX N NORTHWEST HWY,UNLAWFUL ENTRY
-,None,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0560,-87.8001903297,ALLEY,HS662967,2010-12-16T07:50:00,41.9873434019,10,41,08A,7849869,058XX N EAST CIRCLE AVE,SIMPLE
V,None,ASSAULT,/api/1.0-beta1/crimeclassification/63/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0530,-87.8010820794,STREET,HS663099,2010-12-16T07:20:00,41.9871499574,10,41,04A,7852840,058XX N NICKERSON AVE,AGGRAVATED: OTHER DANG WEAPON
-,None,BATTERY,/api/1.0-beta1/crimeclassification/48/,2010,1611,/api/1.0-beta1/communityarea/10/,True,0486,-87.7924762317,RESIDENCE,HS661104,2010-12-14T21:08:00,41.9974306667,10,41,08B,7847857,066XX W DEVON AVE,DOMESTIC BATTERY SIMPLE
-,None,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/123/,2010,1612,/api/1.0-beta1/communityarea/10/,False,1152,-87.7956051734,RESIDENCE,HS673846,2010-12-14T09:00:00,41.9884608594,10,41,11,7860282,067XX W THORNDALE AVE,ILLEGAL USE CASH CARD
P,None,MOTOR VEHICLE THEFT,/api/1.0-beta1/crimeclassification/95/,2010,1622,/api/1.0-beta1/communityarea/10/,False,0910,-87.784204029,STREET,HS660799,2010-12-14T04:00:00,41.9831325327,10,45,07,7849726,056XX N AVONDALE AVE,AUTOMOBILE
-,None,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0560,-87.7937375544,VEHICLE NON-COMMERCIAL,HS661008,2010-12-14T03:00:00,41.9757135016,10,41,08A,7874683,066XX W FOSTER AVE,SIMPLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/84/,2010,1611,/api/1.0-beta1/communityarea/10/,False,0840,-87.7870888881,OTHER,HS682681,2010-12-13T11:40:00,41.9963184555,10,45,06,7868027,063XX N MILWAUKEE AVE,FINANCIAL ID THEFT: OVER $300
-,None,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2010,1622,/api/1.0-beta1/communityarea/10/,False,0560,-87.7803192838,RESIDENCE,HS659121,2010-12-13T09:30:00,41.9895956879,10,45,08A,7847020,059XX N MILWAUKEE AVE,SIMPLE
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2010,1613,/api/1.0-beta1/communityarea/10/,False,1320,-87.8226792406,STREET,HS657828,2010-12-12T20:00:00,41.9767514745,10,41,14,7844917,078XX W SUMMERDALE AVE,TO VEHICLE
P,None,BURGLARY,/api/1.0-beta1/crimeclassification/79/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0620,-87.818223103,RESIDENCE,HS663547,2010-12-12T10:00:00,41.9825383068,10,41,05,7854038,056XX N OTTAWA AVE,UNLAWFUL ENTRY
-,None,BATTERY,/api/1.0-beta1/crimeclassification/36/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0460,-87.8070283784,RESIDENCE,HS657056,2010-12-12T03:50:00,41.989109291,10,41,08B,7844455,059XX N HARLEM AVE,SIMPLE
-,None,BATTERY,/api/1.0-beta1/crimeclassification/36/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0460,-87.806864938,SIDEWALK,HS656991,2010-12-12T02:15:00,41.977248092,10,41,08B,7844372,053XX N HARLEM AVE,SIMPLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/82/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0810,-87.8070023206,RESIDENCE,HT107875,2010-12-12T00:01:00,41.9918259301,10,41,06,7881206,060XX N HARLEM AVE,OVER $300
V,None,ROBBERY,/api/1.0-beta1/crimeclassification/362/,2010,1613,/api/1.0-beta1/communityarea/10/,False,031A,-87.8072129464,RESTAURANT,HS656877,2010-12-11T23:55:00,41.975180555,10,41,03,7844295,052XX N HARLEM AVE,ARMED: HANDGUN
P,None,THEFT,/api/1.0-beta1/crimeclassification/89/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0860,-87.8113517454,GROCERY FOOD STORE,HS656167,2010-12-11T14:24:00,41.9745408379,10,41,06,7844390,073XX W FOSTER AVE,RETAIL THEFT
-,None,ASSAULT,/api/1.0-beta1/crimeclassification/74/,2010,1612,/api/1.0-beta1/communityarea/10/,False,0560,-87.8067196002,RESIDENCE,HS655595,2010-12-11T07:00:00,41.9908696518,10,41,08A,7857877,060XX N HARLEM AVE,SIMPLE
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1310,-87.790018415,RESIDENTIAL YARD (FRONT/BACK),HS655795,2010-12-11T01:30:00,41.9888214864,10,41,14,7844397,058XX N NAVARRE AVE,TO PROPERTY
Q,None,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/145/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1320,-87.7896962749,STREET,HS656253,2010-12-11T00:01:00,41.9886388441,10,41,14,7843888,058XX N NAVARRE AVE,TO VEHICLE
P,None,THEFT,/api/1.0-beta1/crimeclassification/83/,2010,1614,/api/1.0-beta1/communityarea/10/,False,0820,-87.83263426,PARKING LOT/GARAGE(NON.RESID.),HS655081,2010-12-10T18:00:00,41.9857194823,10,41,06,7843053,082XX W HIGGINS RD,$300 AND UNDER
-,None,DECEPTIVE PRACTICE,/api/1.0-beta1/crimeclassification/118/,2010,1611,/api/1.0-beta1/communityarea/10/,False,1130,-87.7876396521,GROCERY FOOD STORE,HS659159,2010-12-10T17:00:00,41.9960109808,10,41,11,7846341,063XX N NAGLE AVE,FRAUD OR CONFIDENCE GAME
P,None,MOTOR VEHICLE THEFT,/api/1.0-beta1/crimeclassification/95/,2010,1613,/api/1.0-beta1/communityarea/10/,False,0910,-87.8026344515,STREET,HS653929,2010-12-09T22:00:00,41.9711858673,10,41,07,7841926,049XX N NORDICA AVE,AUTOMOBILE
-,None,CRIMINAL TRESPASS,/api/1.0-beta1/crimeclassification/152/,2010,1613,/api/1.0-beta1/communityarea/10/,False,1365,-87.7891710703,RESIDENCE,HS653519,2010-12-09T20:30:00,41.9790426226,10,41,26,7842779,053XX N NATCHEZ AVE,TO RESIDENCE
